Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Hashtag Sweets],Price [Hashtag Sweets],In stock [Hashtag Sweets],Low stock [Hashtag Sweets]
kuromi-music-track,10125,Kuromi music track,Toys & Games,,N,,,,,,,0.00,,,,N,Y,19.00,,
kuromi-pencil,10126,Kuromi pencil,Stationery,,N,,,,,,,0.00,,,,Y,Y,7.00,33.000,
kuromi-piggy-bank,10121,Kuromi Piggy bank,Toys & Games,,N,,,,,,,0.00,,,,N,Y,12.00,,
kuromi-racing-car,10203,Kuromi Racing Car,Toys & Games,,N,,,,,,,9.00,,,,Y,Y,9.00,18.000,0.000
kuromi-water-book-,10127,Kuromi water book,Toys & Games,,N,,,,,,,0.00,,,,N,Y,10.00,,
kuromi-watergame,10122,Kuromi Watergame,Toys & Games,,N,,,,,,,10.00,,,,N,Y,10.00,,
labubbu-bank,10128,Labubbu bank,Toys & Games,,N,,,,,,,0.00,,,,N,Y,49.00,,
labubu,10129,Labubu,Toys & Games,,N,,,,,,,0.00,,,,N,Y,29.00,,
labubu-1,10130,Labubu,Toys & Games,,N,,,,,,,0.00,,,,N,Y,29.00,,
labubu-bag,10132,Labubu bag,Bags & Wallets,,N,,,,,,,0.00,,,,Y,Y,15.00,5.000,
labubu-blind-boxes,10133,Labubu blind boxes,Toys & Games,,N,,,,,,,0.00,,,,N,Y,5.00,,
labubu-blindbox,10134,Labubu blindbox,Toys & Games,,N,,,,,,,69.00,,,,N,Y,69.00,,
labubu-cake,10311,Labubu cake,Cakes,,N,,,,,,,0.00,,,,N,Y,99.00,,
labubu-keychain,10135,Labubu keychain,Keychains & Accessories,,N,,,,,,,5.00,,,,N,Y,5.00,,
labubu-music-track,10136,Labubu music track,Toys & Games,,N,,,,,,,0.00,,,,N,Y,19.00,,
labubu-soft-candy,10137,Labubu soft candy,Gummies & Candy,,N,,,,,,,25.00,,,,N,Y,25.00,,
labubu-squishy,10131,Labubu Squishy Big,Toys & Games,,N,,,,,,,5.00,,,,N,Y,15.00,,
lipstick-??-,10138,Lipstick,Candy Toys (YLF),,N,,,,,,,3.00,,,,Y,Y,5.90,18.000,0.000
little-pony-&-barbie-heart-candy,10139,Little Pony & Barbie Heart Candy,Candy Toys (YLF),,N,,,,,,,1.00,,,,N,Y,1.90,,
little-pony-sour-stripes,10140,Little Pony Sour Stripes,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,6.90,,
lobsters,10141,Lobsters,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
lollipop-gun,10142,Lollipop Gun,Candy Toys (YLF),,N,,,,,,,4.35,,,,Y,Y,7.90,214.000,
long-candles-6-pcs,10143,Long Candles 6 pcs,Cake Toppers & Candles,,N,,,,,,,2.00,,,,N,Y,6.50,,
looney-tunes-bottle,10144,Looney Tunes Bottle,Candy Toys (YLF),,N,,,,,,,3.00,,,,N,Y,6.90,,
looney-tunes-ice-cream-pop,10145,Looney Tunes Ice Cream PoP,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,6.90,,
looney-tunes-sour-stick,10146,Looney tunes Sour stick,Candy Toys (YLF),,N,,,,,,,2.00,,,,N,Y,5.00,,
love-??,10148,Love ??,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,5.90,,
love-choco,10147,Love choco,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,2.00,,
